Manager.getClientById,2019-04-24 19:42:09.782
Manager.getProductById,2019-04-24 19:42:09.782
Manager.getProductById,2019-04-24 19:42:09.783
Manager.getProductById,2019-04-24 19:42:09.783
Manager.getProductById,2019-04-24 19:42:09.783
Manager.getClientById,2019-04-24 19:42:09.784
Manager.getProductById,2019-04-24 19:42:09.784
Manager.getClientById,2019-04-24 19:42:09.784
Manager.getProductById,2019-04-24 19:42:09.784
Manager.printInvoices,2019-04-24 19:42:09.784
Manager.setStoreName,2019-04-24 19:47:57.097
Manager.printProducts,2019-04-24 19:47:57.15
Manager.printClients,2019-04-24 19:47:57.166
Manager.getProductById,2019-04-24 19:47:57.166
Manager.getClientById,2019-04-24 19:47:57.197
Manager.getProductById,2019-04-24 19:47:57.197
Manager.getProductById,2019-04-24 19:47:57.213
Manager.getProductById,2019-04-24 19:47:57.213
Manager.getProductById,2019-04-24 19:47:57.213
Manager.getClientById,2019-04-24 19:47:57.213
Manager.getProductById,2019-04-24 19:47:57.213
Manager.getClientById,2019-04-24 19:47:57.213
Manager.getProductById,2019-04-24 19:47:57.213
Manager.printInvoices,2019-04-24 19:47:57.213
Manager.setStoreName,2019-04-24 19:50:57.529
Manager.printProducts,2019-04-24 19:50:57.575
Manager.printClients,2019-04-24 19:50:57.591
Manager.getProductById,2019-04-24 19:50:57.591
Manager.getClientById,2019-04-24 19:50:57.638
Manager.getProductById,2019-04-24 19:50:57.638
Manager.getProductById,2019-04-24 19:50:57.638
Manager.getProductById,2019-04-24 19:50:57.638
Manager.getProductById,2019-04-24 19:50:57.638
Manager.getClientById,2019-04-24 19:50:57.653
Manager.getProductById,2019-04-24 19:50:57.653
Manager.getClientById,2019-04-24 19:50:57.653
Manager.getProductById,2019-04-24 19:50:57.653
Manager.printInvoices,2019-04-24 19:50:57.653
Manager.setStoreName,2019-04-24 19:51:07.899
Manager.printProducts,2019-04-24 19:51:07.946
Manager.printClients,2019-04-24 19:51:07.961
Manager.getProductById,2019-04-24 19:51:07.961
Manager.getClientById,2019-04-24 19:51:08.008
Manager.getProductById,2019-04-24 19:51:08.008
Manager.getProductById,2019-04-24 19:51:08.008
Manager.getProductById,2019-04-24 19:51:08.008
Manager.getProductById,2019-04-24 19:51:08.008
Manager.getClientById,2019-04-24 19:51:08.008
Manager.getProductById,2019-04-24 19:51:08.008
Manager.getClientById,2019-04-24 19:51:08.008
Manager.getProductById,2019-04-24 19:51:08.008
Manager.printInvoices,2019-04-24 19:51:08.008
Manager.setStoreName,2019-04-24 19:52:25.836
Manager.printProducts,2019-04-24 19:52:25.883
Manager.printClients,2019-04-24 19:52:25.899
Manager.getProductById,2019-04-24 19:52:25.899
Manager.getClientById,2019-04-24 19:52:25.946
Manager.getProductById,2019-04-24 19:52:25.946
Manager.getProductById,2019-04-24 19:52:25.946
Manager.getProductById,2019-04-24 19:52:25.946
Manager.getProductById,2019-04-24 19:52:25.946
Manager.getClientById,2019-04-24 19:52:25.946
Manager.getProductById,2019-04-24 19:52:25.946
Manager.getClientById,2019-04-24 19:52:25.946
Manager.getProductById,2019-04-24 19:52:25.946
Manager.printInvoices,2019-04-24 19:52:25.946
Manager.setStoreName,2019-04-24 20:00:29.733
Manager.printProducts,2019-04-24 20:00:29.764
Manager.printClients,2019-04-24 20:00:29.795
Manager.getProductById,2019-04-24 20:00:29.795
Manager.getClientById,2019-04-24 20:00:29.842
Manager.getProductById,2019-04-24 20:00:29.842
Manager.getProductById,2019-04-24 20:00:29.842
Manager.getProductById,2019-04-24 20:00:29.842
Manager.getProductById,2019-04-24 20:00:29.842
Manager.getClientById,2019-04-24 20:00:29.842
Manager.getProductById,2019-04-24 20:00:29.842
Manager.getClientById,2019-04-24 20:00:29.842
Manager.getProductById,2019-04-24 20:00:29.842
Manager.printInvoices,2019-04-24 20:00:29.842
Manager.getInvoiceById,2019-04-24 20:00:29.842
Manager.setStoreName,2019-04-24 20:00:42.743
Manager.printProducts,2019-04-24 20:00:42.774
Manager.printClients,2019-04-24 20:00:42.774
Manager.getProductById,2019-04-24 20:00:42.774
Manager.getClientById,2019-04-24 20:00:42.805
Manager.getProductById,2019-04-24 20:00:42.805
Manager.getProductById,2019-04-24 20:00:42.805
